epoch,train_loss,valid_loss,lr,weighted_rmse,weighted_mae,mae,rmse
0,405.8656687750475,211.51353155458887,0.001,14.54350477108507,11.321917308944112,10.901571320601406,14.086357003980856
1,308.8822938544695,204.3587879315716,0.001,14.295411403508558,11.08706018446887,10.668587178543044,13.809049567638068
2,290.2326018014142,188.07002004563958,0.001,13.713862353276433,10.596954127757673,10.32386816547616,13.354768140705126
3,276.5796420058927,191.0822987256949,0.001,13.82325210750076,10.646464113065754,10.629529097229902,13.764437906223474
4,269.4251038348883,189.03855746071238,0.001,13.749129339411743,10.470258597028439,10.400967422388304,13.514790547534126
5,260.7497613220994,175.44348292455518,0.001,13.245508059217265,10.131929952674902,9.984833712203951,13.024783883606156
6,257.72601336541106,186.63497328937515,0.001,13.661441130382851,10.441176726699782,10.24254602239479,13.306807909460924
7,252.7060590129144,172.95249979162088,0.001,13.151140694514325,10.007551307848463,9.977092734780113,12.910362259829979
8,247.42251448148718,178.12430417265466,0.001,13.346321757857961,10.275815107401444,9.786964639648957,12.74756576959009
9,243.70513034208173,168.3354621719608,0.001,12.97441568577726,9.943472330961399,10.029578135855509,12.986390199715482
10,240.82474056131798,241.53534929534365,0.001,15.541407599372203,12.228189731049236,12.609370300531118,15.908351666733346
11,236.0655307295233,156.87521019342967,0.001,12.524983494106216,9.570984768716732,9.462163783738605,12.322824526351425
12,235.1595998795411,163.44323434345299,0.001,12.784491947370176,9.750502024776779,9.321970079284043,12.180112799745796
13,232.5663867201612,149.71994208481365,0.001,12.236010092788153,9.408149449560591,9.308772497399872,12.16013732288552
14,229.37675600725746,173.63334459041653,0.001,13.177000619710387,10.016793386639154,10.343772628868972,13.394851462613987
15,226.979033058787,157.3186823048732,0.001,12.542674479921269,9.6281854808356,9.664242422670771,12.495175629061567
16,225.60223553758067,140.00004478736793,0.001,11.832161482181075,9.156874307953824,8.733590945185624,11.379143858387472
17,222.57915673447425,162.25562992544755,0.001,12.737960224662874,9.875160601017177,9.642490894148372,12.485567419486516
18,221.69104328630675,148.98101279443262,0.001,12.205777837614127,9.458552364662896,9.196978613232494,11.92993184324081
19,219.66918979946402,164.0508229097269,0.001,12.808232647864582,9.90419876660611,10.079109222234575,12.93845664255838
20,218.57505521063504,142.8964871109034,0.001,11.953931865097523,9.235848785036719,8.868122530376848,11.463722372291883
21,217.35739905692603,153.4821836689668,0.001,12.388792744405064,9.595070509589608,9.426850621878526,12.141413413134295
22,214.36843430939317,142.6488354088625,0.001,11.943568855772517,9.178252001804504,8.908863837373042,11.509588490399684
23,214.48025225033396,141.44773727407718,0.001,11.893180317283731,9.224286301489293,8.941212698878582,11.529519994866071
24,214.42726098104427,147.7070793173716,0.001,12.15348016487995,9.460459333013395,9.364363941471849,12.051611267068477
25,197.72714792460448,140.53148068077522,0.0001,11.854597434360382,9.221326839320795,8.902909418041325,11.504090366466665
26,192.17255783462986,143.57947557453812,0.0001,11.982465355919222,9.293834015641584,9.147174728998369,11.821324662280992
27,190.28734494472687,140.45612150208657,0.0001,11.851418593547798,9.206393445668565,8.838468385585285,11.488423003906242
28,187.86116048453857,141.8032519377695,0.0001,11.908117058715712,9.174573458549744,8.945381638580823,11.641660294707606
29,188.09218262936335,137.74383971616814,0.0001,11.736432196830549,9.042173237039322,8.682784798762818,11.304455361411891
30,185.81383326353824,136.53758632815257,0.0001,11.684929938007157,9.03854462516069,8.662285805079758,11.261686303723787
31,186.66883700405222,139.65928247558932,0.0001,11.817752891640232,9.135506015990241,8.860725380491028,11.537399416718255
32,186.45480891140522,136.42142328924425,0.0001,11.67995818591781,9.038387594940573,8.569001490359527,11.171641803356502
33,185.94779236427303,138.18446704622068,0.0001,11.755188997792288,9.104961888267445,8.647016183587011,11.240969521276114
34,185.45518436724487,140.25745438349438,0.0001,11.843034003318248,9.170899906421324,8.734460887360761,11.357766036082234
35,185.4071555636232,138.5887591011317,0.0001,11.772372702709747,9.106443515020652,8.520184952316159,11.101755609067105
36,184.66877545435952,138.97416044359272,0.0001,11.788730232267765,9.109403481709764,8.7267375449707,11.3660066872214
37,184.52181687795766,137.03296457621707,0.0001,11.706108024866593,9.047807067356478,8.612568167326836,11.192147917053168
38,184.89951763736332,142.24673082718184,0.0001,11.926723407557843,9.245586783770307,8.923375537584482,11.57901898316507
39,184.61736368288905,139.05109491595857,0.0001,11.791992809210468,9.116966121638441,8.612803075569644,11.211594813148752
40,184.35931532722654,139.71018797985494,0.0001,11.819906439676734,9.109414585595548,8.66167208077935,11.297024235510957
41,181.11832471103517,138.0367437693066,1e-05,11.748903928855261,9.066575892446531,8.60971896092159,11.216076023155306
42,181.25192327517388,138.8904353087547,1e-05,11.785178678383499,9.113044427580874,8.722296438095439,11.348760033646792
43,180.81497945808854,137.6322937443965,1e-05,11.731679080686419,9.059680926341171,8.535486001480658,11.12115655881683
44,180.30005157904733,136.15306169881353,1e-05,11.66846441672473,9.023102038601394,8.515970633176297,11.100856816656735
45,180.4677745835973,137.53907273371954,1e-05,11.727705347501015,9.059519040726421,8.637367664468654,11.247518001365995
46,179.8707336799754,137.29660260537602,1e-05,11.717363293512726,9.051626672239646,8.589806384829956,11.197370332694081
47,179.37197923875908,137.65060084174777,1e-05,11.732459285580854,9.075831708486543,8.630180834150567,11.234239644258285
48,179.9133572086827,139.51102091948314,1e-05,11.81147834838316,9.120360029815972,8.662058298962702,11.285330777356233
49,179.88489488884593,139.6140878993852,1e-05,11.815840599792894,9.146317554384225,8.677884742842476,11.312522882322545
50,179.52500785185,138.3075656666631,1e-05,11.76042371319906,9.05770386904018,8.636064379490776,11.26238941598477
51,180.20839062450773,137.65326497921816,1e-05,11.732572798667139,9.080510839744775,8.536001285095228,11.102554565072406
52,179.38790067871028,137.63424241149696,1e-05,11.731762101624925,9.055525320926574,8.567300839940428,11.159193776178753
53,179.4321882196881,138.65674492141858,1.0000000000000002e-06,11.775259866893046,9.11551710577253,8.559985906427556,11.148643575234164
54,178.6934050610985,138.03039097118122,1.0000000000000002e-06,11.748633592653094,9.100911343167152,8.55882024900816,11.145999052896618
55,179.66091887737716,138.40291675191025,1.0000000000000002e-06,11.7644769076377,9.090085721022293,8.656890633467057,11.274934509231578
56,178.91825465944632,137.35902902626833,1.0000000000000002e-06,11.720026853515295,9.042690661399417,8.666995483452096,11.289630542935134
57,178.80326529383976,138.30821857265252,1.0000000000000002e-06,11.760451490831063,9.081266334908172,8.539808762482371,11.12891559217339
58,179.8197649206712,138.44304064477163,1.0000000000000002e-06,11.766182103141665,9.093500216571686,8.627385330241598,11.244930704207897
59,178.4907673992614,137.5093579278303,1.0000000000000002e-06,11.726438428203744,9.05914857141384,8.56380905081976,11.164115589757518
60,179.0519443145067,137.13643968189157,1.0000000000000002e-06,11.710526939327865,9.031028763994884,8.594969599936544,11.208610897345842
61,179.74549790263544,137.16906036326608,1.0000000000000002e-07,11.711919615201461,9.03222203875035,8.566343538465315,11.166894256416654
62,179.63443764451853,137.87332396623606,1.0000000000000002e-07,11.741947228464348,9.084901029693242,8.53358614007311,11.118402560136243
63,178.8881130461346,138.81218870586432,1.0000000000000002e-07,11.781858503964965,9.123163952029477,8.581212626226435,11.182433603760245
64,179.64753883723031,136.70679497473293,1.0000000000000002e-07,11.692168132908646,9.029253594419465,8.549083160515655,11.13804539664167
65,178.6732943071421,137.53959253206324,1.0000000000000002e-07,11.727727531061504,9.072824634211072,8.510164560082991,11.087860080437492
66,179.34810496292698,139.95643057190958,1.0000000000000002e-07,11.83031830823393,9.15394490209353,8.50970909760066,11.073794032209497
67,179.1524924735177,137.76129729050754,1.0000000000000002e-07,11.737175880340372,9.038925444792609,8.599559189307149,11.212509345982935
68,179.36352408085108,137.33004861963988,1.0000000000000002e-07,11.718790446223768,9.094209874565447,8.607617422685014,11.193156999817361
69,179.36352408085066,137.33004861960022,1.0000000000000002e-07,11.718790446223767,9.094209874565445,8.607617422685011,11.193156999817360